"ip","finger","hash","name","race","background","date","class","justClass","subclass","level","feats","HP","AC","Str","Dex","Con","Int","Wis","Cha","alignment","skills","weapons","spells","castingStat","choices","country","countryCode","processedAlignment","good","lawful","processedRace","processedSpells","processedWeapons","alias","justClassClean","subclassClean","StrMod","DexMod","ConMod","IntMod","WisMod","ChaMod","Acrobatics","AnimalHandling","Arcana","Athletics","Deception","History","Insight","Intimidation","Investigation","Medicine","Nature","Perception","Performance","Persuasion","Religion","SleightOfHand","Stealth","Survival","StrSkills","DexSkills","IntSkills","WisSkills","ChaSkills","ConSkills","TotProfSkills"
"","","cae5e618234ee137e3c63d733786562d","076d33f5","Kenku","Guild Member - Spycraft",2022-08-21 16:36:28,"Ranger 20","Ranger","Beast Master",20,"",94,16,13,16,13,15,15,14,"","Acrobatics|Stealth|Investigation|Insight|Perception|Deception","Dagger|Dagger|Longbow","Fog Cloud*1|Absorb Elements*1|Speak With Animals*1|Hunters Mark*1|Beast Sense*2|Find Traps*2|Locate Object *2|Conjure Animals*3|Flame Arrows*3|Lighting Arrows*3|Freedom Of Movement*4|Stone Skin*4|Grasping Vine*4|Conjure Volley*5|Swift Quiver*5","Wis","expertise/Perception|fighting style/Archery|optional hide in plain sight/Hide in Plain Sight|optional primeval awareness/Primeval Awareness|optional favored enemy/Favored Enemy|optional natural explorer/Canny","Canada","CA","",NA,NA,"Kenku","Fog Cloud*1|Absorb Elements*1|Speak with Animals*1|Hunter's Mark*1|Beast Sense*2|Find Traps*2|Locate Object*2|Conjure Animals*3|Flame Arrows*3|Lightning Arrow*3|Freedom of Movement*4|Stoneskin*4|Grasping Vine*4|Conjure Volley*5|Swift Quiver*5","Dagger|Dagger|Longbow","compassionate_mclaren","Ranger","Beast Master",1,3,1,2,2,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,1,2,1,0,6
"","168df55","e60ba474b72646161a0eda0111f43a4e","1747c66f","Fallen Aasimar","Far Traveler",2022-08-21 16:13:26,"Druid 20","Druid","Circle of the Moon",20,"Telekinetic|Elemental Adept|Savage Attacker",116,13,14,15,12,11,17,11,"Chaotic neutral","Arcana|Nature|Insight|Perception","Quarterstaff|Dagger","Infestation*0|Light*0|Poison Spray*0|Primal Savagery*0|Eldritch Blast*0|Healing Word*1|Goodberry*1|Earth Tremor*1|Speak With Animals*1|Enhance Ability*2|Summon Beast*2|Flaming Sphere*2|Conjure Animals*3|Crown Of Madness*3|Aura Of Vitality*3|Charm Monster*4|Conjure Minor Elementals*4|Stone Skin*4|Conjure Elementals*5|Wrath Of Nature*5|Geas*5|Move Earth*6|Druid Grove*6|Reverse Gravity*7|Regenerate *7|Animal Shapes*8|Shapechange*9","Wis","","Canada","CA","CN",NA,NA,"Aasimar","Infestation*0|Light*0|Poison Spray*0|Primal Savagery*0|Eldritch Blast*0|Healing Word*1|Goodberry*1|Earth Tremor*1|Speak with Animals*1|Enhance Ability*2|*|Flaming Sphere*2|Conjure Animals*3|*|Aura Of Vitality*3|Charm Monster*4|Conjure Minor Elementals*4|Stoneskin*4|Conjure Elemental*5|Wrath of Nature*5|Geas*5|Move Earth*6|Druid Grove*6|Reverse Gravity*7|Regenerate*7|Animal Shapes*8|Shapechange*9","Quarterstaff|Dagger","crazy_gould","Druid","Circle of the Moon",2,2,1,0,3,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,4
"","2883dc0","5307fd9971cdc6c718382ab2c28eee79","e38541dc","Leonin","Soldier",2022-08-17 06:20:11,"Fighter 20","Fighter","Rune Knight",20,"Durable|Mage Slayer|Tough|Great Weapon Master|Slasher|Sentinel|Mobile",290,18,25,19,20,18,15,13,"Lawful Good Boi","Athletics|Acrobatics|Survival|Intimidation","Flame Tongue|Flame Tongue (GWM)","","Int","fighting style/Great Weapon Fighting","Canada","CA","LG",NA,NA,"Leonin","","|","brave_rhodes","Fighter","Rune Knight",7,4,5,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,4
"fe2ccee","d00f08e","6eacdd847b0a192ed5274d215e6a2bed","8f563448","Warforged","Barbarian Tribe Member",2022-08-13 15:04:58,"Druid 20","Druid","Circle of the Moon",20,"",183,15,18,12,18,10,18,9,"","Athletics|Nature|Animal Handling|Medicine|Survival","Scimitar","","Wis","","United States","US","",NA,NA,"Warforged","","Scimitar","flamboyant_chandrasekhar","Druid","Circle of the Moon",4,1,4,0,4,-1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,3,0,0,5
"6fdd75d","461d953","bcb6122fe0174ce0dd17c9a9afeae303","be717d80","Tiefling","Acolyte",2022-06-28 13:42:34,"Cleric 20","Cleric","Tempest Domain",20,"War Caster|Mobile",183,18,10,14,18,14,20,8,"","Religion|Insight|Medicine|Persuasion","Mace","Sacred Flame*0|Spare The Dying*0|Fog Cloud*1|Thunderwave*1|Hellish Rebuke*1|Healing Word*1|Cure Wounds*1|Inflict Wounds*1|Bane *1|Bless*1|Gust of Wind*2|Shatter*2|Spiritual Weapon*2|Hold Person*2|Call Lightning*3|Sleet Storm*3|Dispel Magic*3|Spirit Guardians*3|Control Water*4|Ice Storm*4|Banishment*4|Death Ward*4|Destructive Wave*5|Insect Plague*5|Heal*6|Power Word Heal*9","Wis","",NA,NA,"",NA,NA,"Tiefling","Sacred Flame*0|Spare the Dying*0|Fog Cloud*1|Thunderwave*1|Hellish Rebuke*1|Healing Word*1|Cure Wounds*1|Inflict Wounds*1|Bane*1|Bless*1|Gust of Wind*2|Shatter*2|Spiritual Weapon*2|Hold Person*2|Call Lightning*3|Sleet Storm*3|Dispel Magic*3|Spirit Guardians*3|Control Water*4|Ice Storm*4|Banishment*4|Death Ward*4|Destructive Wave*5|Insect Plague*5|Heal*6|Power Word Heal*9","Mace","dreamy_banzai","Cleric","Tempest Domain",0,2,4,2,5,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,1,0,4
"6fdd75d","461d953","59c14fd1f0ec20453fac02cbfcff8b08","e2915746","Human","Criminal",2022-06-28 13:27:59,"Wizard 20","Wizard","School of Abjuration",20,"War Caster|Tough|Lucky",222,17,12,14,20,20,12,16,"","Stealth|Arcana|Insight|Medicine|Deception","Quarterstaff","Frostbite*0|Chill Touch*0|Mage Hand*0|Ray Of Frost*0|Toll The Dead*0|Magic Missile*1|Shield*1|Blur*2|Misty Step*2|Fortunes Favor*2|Shadow Blade*2|Haste*3|Counterspell*3|Dispel Magic*3|Banishment*4|Blight*4|Cone Of Cold*5|Animate Objects*5|Scatter*6|Simulacrum*7|Power Word Stun*8|Foresight *9","Int","",NA,NA,"",NA,NA,"Human","Frostbite*0|Chill Touch*0|Mage Hand*0|Ray of Frost*0|Toll the Dead*0|Magic Missile*1|Shield*1|Blur*2|Misty Step*2|*|Shadow Blade*2|Haste*3|Counterspell*3|Dispel Magic*3|Banishment*4|Blight*4|Cone of Cold*5|Animate Objects*5|Scatter*6|Simulacrum*7|Power Word Stun*8|Foresight*9","Quarterstaff","reverent_ride","Wizard","School of Abjuration",1,2,5,5,1,3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,1,0,5
"4a6820a","795518e","15f7a27870b756f5a7ed2f7af9f05a70","18af4b4b","Turtle","Sage",2022-04-24 14:50:56,"Warlock 20","Warlock","The Great Old One",20,"Spell Sniper|Mobile|Telekinetic|Observant",203,17,12,20,18,16,14,20,"Chaotic Evil","Arcana|History|Investigation|Survival|Deception","Crossbow, light|Dagger|Quarterstaff","","Cha","pact boon/Pact of the Tome|eldritch invocations/Eyes of the Rune Keeper*Thief of Five Fates*Undying Servitude*Sculptor of Flesh*Aspect of the Moon*Eldritch Mind*Shroud of Shadow*Otherworldly Leap","United States","US","CE",NA,NA,"Turtle","","Crossbow, Light|Dagger|Quarterstaff","boring_poitras","Warlock","The Great Old One",1,5,4,3,2,5,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,5
"e7a1ea5","649a467","2336e0154e82814903fb77c088c21dde","f8402acc","Fallen Aasimar","Custom",2022-04-01 12:45:30,"Bard 20","Bard","College of Eloquence",20,"Spell Sniper|War Caster|Lucky",163,13,9,15,16,8,8,20,"","Arcana|History|Religion","Rapier|Dagger","","Cha","expertise/History*Arcana*Religion",NA,NA,"",NA,NA,"Aasimar","","Rapier|Dagger","jovial_torvalds","Bard","College of Eloquence",-1,2,3,-1,-1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3
"e7a1ea5","649a467","54929e647cd650e391638d210633b538","d4a88419","Protector Aasimar","Custom",2022-04-01 12:43:26,"Paladin 20","Paladin","Oath of Devotion",20,"",204,16,18,12,18,8,11,18,"","Athletics|Intimidation","Javelin","Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5","Cha","fighting style/Great Weapon Fighting",NA,NA,"",NA,NA,"Aasimar","Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5","Javelin","mystifying_goodall","Paladin","Oath of Devotion",4,1,4,-1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
"","0152642","45e580e0e745ddde046e1b05f1fa7d51","d5009c3c","Human","Sailor",2022-03-04 17:54:11,"Cleric 20","Cleric","Light Domain",20,"Heavily Armored|War Caster|Prodigy",217,22,14,10,16,10,20,10,"","Athletics|History|Religion|Insight|Medicine|Perception","Mace","Light*0|Burning Hands*1|Faerie Fire*1|Spiritual Weapon*1|Flaming Sphere*2|Scorching Ray*2|Dispel Magic*2|Bestow Curse*2|Spiritual Weapon*2|Daylight*3|Fireball*3|Spirit Guardians*3|Guardian of Faith*4|Wall of Fire*4|Raise Dead*4|Banishment*4|Flame Strike*5|Scrying*5|Summon Celestial*5|Mass Cure Wounds*5|Greater Restoration*5|Heal*6|Create Undead*6|Conjure Celestial*7|Holy Aura*8|Mass Heal*9","Wis","expertise/Athletics","Canada","CA","",NA,NA,"Human","Light*0|Burning Hands*1|Faerie Fire*1|*|Flaming Sphere*2|Scorching Ray*2|*|*|Spiritual Weapon*2|Daylight*3|Fireball*3|Spirit Guardians*3|Guardian of Faith*4|Wall of Fire*4|*|Banishment*4|Flame Strike*5|Scrying*5|*|Mass Cure Wounds*5|Greater Restoration*5|Heal*6|Create Undead*6|Conjure Celestial*7|Holy Aura*8|Mass Heal*9","Mace","sharp_chebyshev","Cleric","Light Domain",2,0,3,0,5,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,2,3,0,0,6
